Comparisons,Assignments,ElapsedTime(ns)
0,0,0
Comparisons,Assignments,ElapsedTime(ns)
0,0,0
Comparisons,Assignments,ElapsedTime(ns)
3,3,0
Comparisons,Assignments,ElapsedTime(ns)
3,3,0
Comparisons,Assignments,ElapsedTime(ns)
3,3,0
Comparisons,Assignments,ElapsedTime(ns)
8,8,0
Comparisons,Assignments,ElapsedTime(ns)
5,5,0
